DATE;YEAR;Train;ID;URL;HQ;AUT_COMM;PLAIN_ML;PLAIN_WO;DEFEN_ML;RQ_JOINT;PCI+;PCI-;RQ_FH_AT;RQ_FH_SP;PVF+;PVF-;RQ_MP_AT;RQ_MP_SP;PPA+;PPA-;CD_JOINT;CD_JO_CF;WIN_SL;WINWIN;DCI+;DCI=;DCI-;CD_FH_AT;CD_FH_SP;DVF+;DVF-;CD_MP_AT;CD_MP_SP;DPA+;DPA-;LP_BI_SL_b;LP_BI_JN_b;LP_BI_SL;LP_BI_JN;LP_BI_b;LP_BI;LP_PE_SL_b;LP_PE_JN_b;LP_PE_SL;LP_PE_JN;LP_PE_b;LP_PE;LP_RA_SL_b;LP_RA_JN_b;LP_RA_SL;LP_RA_JN;LP_RA_b;LP_RA;LP_RJ_SL_b;LP_RJ_JN_b;LP_RJ_SL;LP_RJ_JN;LP_RJ_b;LP_RJ;FT_RP_SL_b;FT_RP_JN_b;FT_RP_SL;FT_RP_JN;FT_RP_b;FT_RP;FT_CW_SL_b;FT_CW_JN_b;FT_CW_SL;FT_CW_JN;FT_CW_b;FT_CW;FT_CC_SL_b;FT_CC_JN_b;FT_CC_SL;FT_CC_JN;FT_CC_b;FT_CC;FT_CR_SL_b;FT_CR_JN_b;FT_CR_SL;FT_CR_JN;FT_CR_b;FT_CR;FT_RA_SL_b;FT_RA_JN_b;FT_RA_SL;FT_RA_JN;FT_RA_b;FT_RA;FT_RD_SL_b;FT_RD_JN_b;FT_RD_SL;FT_RD_JN;FT_RD_b;FT_RD;FT_PD_SL_b;FT_PD_JN_b;FT_PD_SL;FT_PD_JN;FT_PD_b;FT_PD;FT_AG_SL_b;FT_AG_JN_b;FT_AG_SL;FT_AG_JN;FT_AG_b;FT_AG;LN_JNPREF_b;LN_JNPREF;FT_SL_IN_b;FT_JN_IN_b;FT_SL_IN;FT_JN_IN;JUDGE_ML;JUDGE_ID;Unnamed: 113
43671;2019;0;APB_2019_9741;http://labje.unizar.es/sentencias/APB_2019_9741.pdf;Barcelona;Cataluña;0;1;1;0;2;0.0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;3;1;3;0;1;0;5;1;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;8;1;28;
43670;2019;0;APB_2019_9748;http://labje.unizar.es/sentencias/APB_2019_9748.pdf;Barcelona;Cataluña;0;1;1;0;2;0.0;0;0;0;0;1;0;2;0;0;1;1;1;2;0;0;0;0;0;0;1;1;1;1;0;1;0;3;1;3;0;0;0;0;0;0;1;0;1;0;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;-1;-2;0;0;0;0;0;0;1;0;3;0;-1;-3;1;1;7;1;-1;-6;1;0;5;0;-1;-5;0;0;0;0;0;0;0;0;4;1;17;1;0;33;
43671;2019;0;APB_2019_9751;http://labje.unizar.es/sentencias/APB_2019_9751.pdf;Barcelona;Cataluña;1;0;0;1;0;2.0;1;0;1;0;0;1;0;1;0;0;0;0;2;0;0;0;1;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;-1;-2;1;0;1;0;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;4;0;-1;-4;0;0;0;0;0;0;0;0;3;0;7;0;0;21;
43476;2019;1;APB_2019_98;http://labje.unizar.es/sentencias/APB_2019_98.pdf;Barcelona;Cataluña;1;0;0;0;2;0.0;0;0;0;0;0;1;0;2;0;1;0;0;0;2;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1;0;0;0;0;0;0;1;0;2;0;-1;-2;0;1;0;1;1;1;0;0;0;0;0;0;1;1;8;1;-1;-7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3;10;3;0;21;
43873;2020;0;APB_2020_1029;http://labje.unizar.es/sentencias/APB_2020_1029.pdf;Barcelona;Cataluña;1;0;0;1;0;2.0;1;1;2;2;0;1;0;3;0;0;0;0;2;0;0;0;1;0;1;1;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;-1;-1;0;0;0;0;0;0;1;0;1;0;-1;-1;1;0;4;0;-1;-4;0;0;0;0;0;0;0;0;0;0;0;0;1;1;10;3;-1;-7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;15;3;0;32;
43865;2020;0;APB_2020_1031;http://labje.unizar.es/sentencias/APB_2020_1031.pdf;Barcelona;Cataluña;1;0;0;1;0;2.0;1;1;1;1;0;0;0;0;0;0;0;0;2;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;-1;-2;0;0;0;0;0;0;1;0;3;0;-1;-3;1;1;2;5;1;3;1;0;1;0;-1;-1;0;0;0;0;0;0;0;0;4;1;8;5;0;29;
43880;2020;0;APB_2020_1034;http://labje.unizar.es/sentencias/APB_2020_1034.pdf;Barcelona;Cataluña;0;1;1;1;0;2.0;0;0;0;0;0;1;0;3;0;0;0;0;2;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;3;0;-1;-3;0;0;0;0;0;0;0;0;0;0;0;0;1;1;4;2;-1;-2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;7;2;0;21;
43879;2020;0;APB_2020_1042;http://labje.unizar.es/sentencias/APB_2020_1042.pdf;Barcelona;Cataluña;0;1;1;1;0;5.0;0;0;0;0;0;1;0;4;0;0;0;0;4;0;0;0;0;0;0;1;0;2;0;1;0;1;0;-1;-1;0;0;0;0;0;0;1;0;2;0;-1;-2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;-1;-2;1;0;3;0;-1;-3;0;0;0;0;0;0;1;0;2;0;-1;-2;1;1;11;3;-1;-8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;1;18;3;0;32;
43880;2020;0;APB_2020_1055;http://labje.unizar.es/sentencias/APB_2020_1055.pdf;Barcelona;Cataluña;1;0;0;1;0;2.0;0;0;0;0;0;1;0;2;1;1;0;1;0;0;3;0;0;0;0;1;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;2;1;1;0;0;0;0;0;0;0;1;0;4;1;4;1;1;5;4;-1;-1;0;0;0;0;0;0;1;0;1;0;-1;-1;1;1;3;3;7;10;0;23;
43845;2020;0;APB_2020_106;http://labje.unizar.es/sentencias/APB_2020_106.pdf;Barcelona;Cataluña;0;1;1;0;2;0.0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;2;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;4;1;4;1;1;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;5;9;0;21;
43874;2020;0;APB_2020_1071;http://labje.unizar.es/sentencias/APB_2020_1071.pdf;Barcelona;Cataluña;1;0;0;1;0;2.0;0;0;0;0;0;1;0;2;0;0;0;0;2;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;-1;-1;1;0;2;0;-1;-2;0;0;0;0;0;0;1;0;4;0;-1;-4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;7;0;1;31;
43844;2020;0;APB_2020_136;http://labje.unizar.es/sentencias/APB_2020_136.pdf;Barcelona;Cataluña;1;0;0;1;0;3.0;1;0;1;0;0;1;0;1;0;0;0;0;2;0;0;0;1;0;1;1;1;1;1;1;0;1;0;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1;1;1;8;2;-1;-6;1;1;9;6;-1;-3;1;0;3;0;-1;-3;0;0;0;0;0;0;0;0;3;3;20;9;1;26;
43892;2020;0;APB_2020_1501;http://labje.unizar.es/sentencias/APB_2020_1501.pdf;Barcelona;Cataluña;0;1;1;0;2;0.0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;2;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;3;1;3;0;1;0;2;1;2;0;1;0;5;1;5;1;1;1;7;1;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;4;1;17;1;3;
43832;2020;0;APB_2020_189;http://labje.unizar.es/sentencias/APB_2020_189.pdf;Barcelona;Cataluña;1;0;0;1;0;2.0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;-1;-2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;4;0;-1;-4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;6;0;0;30;
43850;2020;0;APB_2020_191;http://labje.unizar.es/sentencias/APB_2020_191.pdf;Barcelona;Cataluña;1;0;0;1;0;3.0;0;0;0;0;0;1;0;1;0;0;0;0;2;0;0;0;0;0;0;1;0;1;0;1;0;2;0;-1;-2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;-1;-1;0;0;0;0;0;0;1;0;4;0;-1;-4;1;0;2;0;-1;-2;1;1;5;2;-1;-3;0;0;0;0;0;0;1;0;3;0;-1;-3;0;0;0;0;0;0;0;0;5;1;15;2;1;3;
43833;2020;0;APB_2020_197;http://labje.unizar.es/sentencias/APB_2020_197.pdf;Barcelona;Cataluña;1;0;0;1;0;3.0;0;0;0;0;0;1;0;1;0;0;0;0;3;0;0;0;0;0;0;1;0;4;0;1;0;1;0;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;1;-1;-1;1;0;5;0;-1;-5;1;1;10;5;-1;-5;1;0;2;0;-1;-2;0;0;0;0;0;0;0;0;4;2;19;6;0;30;
43840;2020;0;APB_2020_203;http://labje.unizar.es/sentencias/APB_2020_203.pdf;Barcelona;Cataluña;0;1;1;0;3;0.0;0;0;0;0;1;0;2;0;1;0;0;0;0;0;4;0;0;0;0;0;1;0;2;0;1;0;1;1;1;0;0;0;0;0;0;0;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;1;2;0;1;0;1;1;1;0;1;0;4;1;4;1;1;4;8;1;4;1;0;3;0;-1;-3;0;0;0;0;0;0;0;0;2;4;7;15;0;30;
43896;2020;0;APB_2020_2516;http://labje.unizar.es/sentencias/APB_2020_2516.pdf;Barcelona;Cataluña;0;1;1;1;0;3.0;0;0;0;0;0;1;0;1;0;0;0;0;3;0;0;0;0;0;0;1;0;1;0;1;0;2;0;-1;-2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;-1;-1;1;0;1;0;-1;-1;1;1;1;1;0;0;0;0;0;0;0;0;1;0;3;0;-1;-3;1;1;4;1;-1;-3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;2;10;2;0;30;
